iter	RMSE
0	14.57659156
1	14.19009682
2	13.78778728
3	13.38460286
4	13.00704835
5	12.73634723
6	12.40465991
7	12.10980292
8	11.78980528
9	11.49646355
10	11.26691601
11	11.00446063
12	10.76797997
13	10.56331421
14	10.33849511
15	10.14282186
16	9.919240575
17	9.75215498
18	9.54184216
19	9.351029948
20	9.160242257
21	8.985211521
22	8.865129458
23	8.705798479
24	8.553706858
25	8.418517987
26	8.300315355
27	8.176287019
28	8.069156273
29	7.958360301
30	7.868576568
31	7.769923686
32	7.673659938
33	7.575719348
34	7.491604657
35	7.416067949
36	7.340910132
37	7.271927957
38	7.19715517
39	7.127831296
40	7.05920533
41	6.986734434
42	6.929254219
43	6.881061349
44	6.826474015
45	6.777531273
46	6.736031422
47	6.700836666
48	6.649122673
49	6.599990603
50	6.56007119
51	6.505593018
52	6.468504757
53	6.427139455
54	6.396494645
55	6.360255946
56	6.321705051
57	6.295872196
58	6.265284752
59	6.232390826
60	6.211677369
61	6.188978526
62	6.162342609
63	6.138334503
64	6.113909133
65	6.089597148
66	6.069306403
67	6.050780181
68	6.024500385
69	6.002657588
70	5.979908577
71	5.963027662
72	5.94374213
73	5.927573879
74	5.912385519
75	5.900952477
76	5.881367447
77	5.870525734
78	5.855012695
79	5.844074672
80	5.832859959
81	5.824180201
82	5.815804258
83	5.804737239
84	5.796449134
85	5.784343208
86	5.774049706
87	5.765094627
88	5.754576548
89	5.745623231
90	5.735080013
91	5.724707354
92	5.715468265
93	5.707467054
94	5.699086373
95	5.694571708
96	5.685233369
97	5.677317343
98	5.670621136
99	5.662602993
100	5.654001635
101	5.644866663
102	5.638273586
103	5.62997332
104	5.623337753
105	5.618537694
106	5.614367778
107	5.608971908
108	5.601537293
109	5.594878717
110	5.591230479
111	5.586779123
112	5.580036272
113	5.574974695
114	5.567697891
115	5.561498535
116	5.557196263
117	5.552031165
118	5.5486439
119	5.544312802
120	5.536745672
121	5.533175069
122	5.527757061
123	5.52400536
124	5.520693063
125	5.516477099
126	5.513582551
127	5.506576882
128	5.501511835
129	5.498839654
130	5.494879442
131	5.490363621
132	5.485022794
133	5.479566042
134	5.476460888
135	5.470301447
136	5.466769412
137	5.461859691
138	5.457626872
139	5.453915743
140	5.448731516
141	5.44595065
142	5.443151185
143	5.440870814
144	5.43627647
145	5.432186038
146	5.430076958
147	5.426283188
148	5.424299795
149	5.422329236
150	5.418727476
151	5.415555319
152	5.412971026
153	5.409491526
154	5.407023256
155	5.40487279
156	5.399560183
157	5.396561589
158	5.392752704
159	5.389369149
