iter	Passed	Remaining
0	0	426
1	1	311
2	1	267
3	1	245
4	2	231
5	2	223
6	3	218
7	3	214
8	3	211
9	4	208
10	21	943
11	21	881
12	22	826
13	22	778
14	22	736
15	23	699
16	23	667
17	23	638
18	24	613
19	24	590
20	24	569
21	25	550
22	25	531
23	25	515
24	26	500
25	26	486
26	27	473
27	27	460
28	27	450
29	28	440
30	28	430
31	28	421
32	29	413
33	29	405
34	29	397
35	30	390
36	30	384
37	31	377
38	31	371
39	31	364
40	32	359
41	32	353
42	32	349
43	33	344
44	33	340
45	34	336
46	34	333
47	34	329
48	35	325
49	35	321
50	36	317
51	36	313
52	36	310
53	37	307
54	37	304
55	37	301
56	38	298
57	38	295
58	39	293
59	39	290
60	39	287
61	40	285
62	40	283
63	41	280
64	41	278
65	41	275
66	42	273
67	42	271
68	43	269
69	43	267
70	43	265
71	44	263
72	44	261
73	45	259
74	45	257
75	45	255
76	46	253
77	46	252
78	47	250
79	47	249
80	48	248
81	48	246
82	48	245
83	49	243
84	49	242
85	49	240
86	50	239
87	50	237
88	51	235
89	51	234
90	51	232
91	52	231
92	52	230
93	52	228
94	53	227
95	53	226
96	54	224
97	54	223
98	54	222
99	55	220
100	55	219
101	55	218
102	56	217
103	56	215
104	57	214
105	57	213
106	57	212
107	58	211
108	58	210
109	59	209
110	59	208
111	59	207
112	60	206
113	60	205
114	61	204
115	61	203
116	62	203
117	62	202
118	62	201
119	63	200
120	63	199
121	64	198
122	64	197
123	64	196
124	65	195
125	65	195
126	66	194
127	66	193
128	66	192
129	67	191
130	67	190
131	68	189
132	68	189
133	68	188
134	69	187
135	69	186
136	70	185
137	70	185
138	71	184
139	71	183
140	71	182
141	72	182
142	72	181
143	73	180
144	73	180
145	74	179
146	74	178
147	74	178
148	75	177
149	75	177
150	76	176
151	76	175
152	77	174
153	77	174
154	77	173
155	78	172
156	78	172
157	79	171
158	79	170
159	79	169
160	80	169
161	80	168
162	81	167
163	81	167
164	82	166
165	82	165
166	82	165
167	83	164
168	83	163
169	84	163
170	84	162
171	84	161
172	85	161
173	85	160
174	86	159
175	86	159
176	86	158
177	87	157
178	87	157
179	88	156
180	88	155
181	88	155
182	89	154
183	89	154
184	90	153
185	90	152
186	90	152
187	91	151
188	91	150
189	92	150
190	92	149
191	92	148
192	93	148
193	93	147
194	94	147
195	94	146
196	94	145
197	95	145
198	95	144
199	95	143
200	96	143
201	96	142
202	96	141
203	97	141
204	97	140
205	98	139
206	98	139
207	98	138
208	99	138
209	99	137
210	99	136
211	100	136
212	100	135
213	101	135
214	101	135
215	102	134
216	102	134
217	103	133
218	104	133
219	104	133
220	105	132
221	105	132
222	106	132
223	106	131
224	107	131
225	107	130
226	108	130
227	108	129
228	109	129
229	109	128
230	110	128
231	110	127
232	111	127
233	111	127
234	112	126
235	112	125
236	112	125
237	113	124
238	113	124
239	114	124
240	115	123
241	115	123
242	116	122
243	116	122
244	117	122
245	117	121
246	118	121
247	118	120
248	119	120
249	119	119
250	120	119
251	120	118
252	120	118
253	121	117
254	121	116
255	122	116
256	122	115
257	123	115
258	123	114
259	123	114
260	124	113
261	124	113
262	125	112
263	125	112
264	126	111
265	126	111
266	127	111
267	127	110
268	128	110
269	128	109
270	129	109
271	129	108
272	129	108
273	130	107
274	130	106
275	131	106
276	131	105
277	131	105
278	132	104
279	132	104
280	133	103
281	133	103
282	134	102
283	134	102
284	135	101
285	135	101
286	135	100
287	136	100
288	136	99
289	137	99
290	137	98
291	138	98
292	138	97
293	138	97
294	139	96
295	140	96
296	140	96
297	141	95
298	141	95
299	141	94
300	142	94
301	142	93
302	143	93
303	143	92
304	144	92
305	144	91
306	145	91
307	145	90
308	146	90
309	146	89
310	146	89
311	147	88
312	147	88
313	148	87
314	148	87
315	149	86
316	149	86
317	150	86
318	150	85
319	151	85
320	151	84
321	152	84
322	154	84
323	154	83
324	154	83
325	155	82
326	155	82
327	156	81
328	156	81
329	157	80
330	157	80
331	158	79
332	158	79
333	158	79
334	159	78
335	159	78
336	160	77
337	160	77
338	161	76
339	161	76
340	162	75
341	162	75
342	163	74
343	163	74
344	164	73
345	164	73
346	164	72
347	165	72
348	165	71
349	166	71
350	166	70
351	167	70
352	167	69
353	168	69
354	168	68
355	169	68
356	169	67
357	169	67
358	170	66
359	170	66
360	171	65
361	171	65
362	172	64
363	172	64
364	173	64
365	173	63
366	174	63
367	174	62
368	175	62
369	175	61
370	176	61
371	176	60
372	177	60
373	178	59
374	178	59
375	179	59
376	179	58
377	180	58
378	180	57
379	181	57
380	182	56
381	182	56
382	183	56
383	183	55
384	184	55
385	185	54
386	185	54
387	186	53
388	186	53
389	186	52
390	187	52
391	187	51
392	188	51
393	188	50
394	189	50
395	189	49
396	190	49
397	190	48
398	191	48
399	192	48
400	192	47
401	193	47
402	193	46
403	194	46
404	194	45
405	195	45
406	196	44
407	196	44
408	196	43
409	197	43
410	197	42
411	198	42
412	198	41
413	199	41
414	199	40
415	200	40
416	200	40
417	201	39
418	202	39
419	202	38
420	203	38
421	204	37
422	204	37
423	205	36
424	206	36
425	206	35
426	207	35
427	207	34
428	208	34
